Entry,Gene Names,Protein names,protein_symbol
Q7Z7K0,CMC1 C3orf68,COX assembly mitochondrial protein homolog,CMC1
Q7Z7K2,ZNF467,Zinc finger protein 467,ZNF467
Q86SI9,IRX2-DT C5orf38 CEI,Putative uncharacterized protein IRX2-DT,IRX2-DT
Q86SM5,MRGPRG GPR169 MRGG,Mas-related G-protein coupled receptor member G,MRGPRG
Q86SM8,MRGPRE GPR167 MRGE,Mas-related G-protein coupled receptor member E,MRGPRE
Q86T20,SMIM29 C6orf1 LBH,Small integral membrane protein 29,SMIM29
Q86T29,ZNF605,Zinc finger protein 605,ZNF605
Q86T75,NBPF11 NBPF24,Neuroblastoma breakpoint family member 11,NBPF11
Q86TE4,LUZP2 UNQ2566/PRO6246,Leucine zipper protein 2,LUZP2
Q86UF2,CTAGE6 CTAGE6P,cTAGE family member 6,CTAGE6
Q86UV7,TRIM73 TRIM50B,Tripartite motif-containing protein 73,TRIM73
Q86V35,CABP7 CALN2,Calcium-binding protein 7,CABP7
Q86V71,ZNF429,Zinc finger protein 429,ZNF429
Q86V87,FHIP2B FAM160B2 RAI16 FP13191,FHF complex subunit HOOK-interacting protein 2B,FHIP2B
Q86V88,MDP1,Magnesium-dependent phosphatase 1,MDP1
Q86VE3,SATL1,Spermidine/spermine N,SATL1
Q86VG3,IFTAP C11orf74 NWC,Intraflagellar transport-associated protein,IFTAP
Q86VH4,LRRTM4 UNQ3075/PRO9907,Leucine-rich repeat transmembrane neuronal protein 4,LRRTM4
Q86VR8,FJX1,Four-jointed box protein 1,FJX1
Q86VS3,IQCH,IQ domain-containing protein H,IQCH
Q86VU5,COMTD1 UNQ766/PRO1558,Catechol O-methyltransferase domain-containing protein 1,COMTD1
Q86VY9,TMEM200A KIAA1913 HBE61,Transmembrane protein 200A,TMEM200A
Q86W25,NLRP13 NALP13 NOD14,"NACHT, LRR and PYD domains-containing protein 13",NLRP13
Q86W34,AMZ2 BM-014,Archaemetzincin-2,AMZ2
Q86WR7,PROSER2 C10orf47,Proline and serine-rich protein 2,PROSER2
Q86WT1,IFT70A TTC30A,Intraflagellar transport protein 70A,IFT70A
Q86WZ6,ZNF227,Zinc finger protein 227,ZNF227
Q86X60,FAM72B,Protein FAM72B,FAM72B
Q86XA9,HEATR5A C14orf125 KIAA1316,HEAT repeat-containing protein 5A,HEATR5A
Q86XD8,ZFAND4 ANUBL1,AN1-type zinc finger protein 4,ZFAND4
Q86XN6,ZNF761 KIAA2033,Zinc finger protein 761,ZNF761
Q86XS5,ANGPTL5 UNQ5795/PRO19600,Angiopoietin-related protein 5,ANGPTL5
Q86XU0,ZNF677,Zinc finger protein 677,ZNF677
Q86XZ4,SPATS2 SCR59 SPATA10 Nbla00526,Spermatogenesis-associated serine-rich protein 2,SPATS2
Q86YB7,ECHDC2,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial",ECHDC2
Q86YQ2,BPIFA4P BASE LATH,Putative BPIFA4P protein,BPIFA4P
Q86YQ8,CPNE8,Copine-8,CPNE8
Q86YR6,POTED A26B3 ANKRD21 POTE,POTE ankyrin domain family member D,POTED
Q8IUA0,WFDC8 C20orf170 WAP8,WAP four-disulfide core domain protein 8,WFDC8
Q8IUB2,WFDC3 WAP14,WAP four-disulfide core domain protein 3,WFDC3
Q8IUB3,WFDC10B WAP12,Protein WFDC10B,WFDC10B
Q8IUB5,WFDC13 C20orf138 WAP13,WAP four-disulfide core domain protein 13,WFDC13
Q8IUF1,ZNG1B CBWD2,Zinc-regulated GTPase metalloprotein activator 1B,ZNG1B
Q8IUH2,CREG2,Protein CREG2,CREG2
Q8IUK8,CBLN2 UNQ1892/PRO4338,Cerebellin-2,CBLN2
Q8IUL8,CILP2,Cartilage intermediate layer protein 2,CILP2
Q8IUS5,EPHX4 ABHD7 EH4 EPHXRP,Epoxide hydrolase 4,EPHX4
Q8IV03,LURAP1L C9orf150 HYST0841,Leucine rich adaptor protein 1-like,LURAP1L
Q8IV33,KIAA0825 C5orf36,Uncharacterized protein KIAA0825,KIAA0825
Q8IV35,CFAP337 WDR49,Cilia- and flagella-associated protein 337,CFAP337
Q8IV38,ANKMY2,Ankyrin repeat and MYND domain-containing protein 2,ANKMY2
Q8IV42,PSTK C10orf89,L-seryl-tRNA,PSTK
Q8IV50,LYSMD2,LysM and putative peptidoglycan-binding domain-containing protein 2,LYSMD2
Q8IVA1,PCP2,Purkinje cell protein 2 homolog,PCP2
Q8IVC4,ZNF584,Zinc finger protein 584,ZNF584
Q8IVF6,ANKRD18A KIAA2015,Ankyrin repeat domain-containing protein 18A,ANKRD18A
Q8IVN3,MUSTN1,Musculoskeletal embryonic nuclear protein 1,MUSTN1
Q8IVN8,SBSPON C8orf84 RPESP,Somatomedin-B and thrombospondin type-1 domain-containing protein,SBSPON
Q8IVU1,IGDCC3 PUNC,Immunoglobulin superfamily DCC subclass member 3,IGDCC3
Q8IVV8,NKAIN4 C20orf58 FAM77A,Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 4,NKAIN4
Q8IVY1,C1orf210,Type III endosome membrane protein TEMP,C1orf210
Q8IW50,FAM219A C9orf25,Protein FAM219A,FAM219A
Q8IW70,TMEM151B C6orf137 TMEM193,Transmembrane protein 151B,TMEM151B
Q8IW92,GLB1L2 MSTP014 UNQ210/PRO236,Beta-galactosidase-1-like protein 2,GLB1L2
Q8IWB4,SPATA31A7 FAM75A4 FAM75A7 SPATA31A4,Spermatogenesis-associated protein 31A7,SPATA31A7
Q8IX94,CTAGE4,cTAGE family member 4,CTAGE4
Q8IXE1,OR4N5,Olfactory receptor 4N5,OR4N5
Q8IXF9,AQP12A AQP12 AQPX2,Aquaporin-12A,AQP12A
Q8IXQ4,GPALPP1 KIAA1704 LSR7 AD029,GPALPP motifs-containing protein 1,GPALPP1
Q8IXT5,RBM12B,RNA-binding protein 12B,RBM12B
Q8IXU6,SLC35F2,Solute carrier family 35 member F2,SLC35F2
Q8IXX5,TMEM183A C1orf37,Transmembrane protein 183A,TMEM183A
Q8IY50,SLC35F3,Solute carrier family 35 member F3,SLC35F3
Q8IY51,TIGD4,Tigger transposable element-derived protein 4,TIGD4
Q8IY85,EFCAB13 C17orf57,EF-hand calcium-binding domain-containing protein 13,EFCAB13
Q8IYA7,MKX C10orf48 IRXL1,Homeobox protein Mohawk,MKX
Q8IYB9,ZNF595,Zinc finger protein 595,ZNF595
Q8IYK2,TEKTL1 CCDC105,Tektin-like protein 1,TEKTL1
Q8IYL3,C1orf174,UPF0688 protein C1orf174,C1orf174
Q8IYM0,FAM186B C12orf25,Protein FAM186B,FAM186B
Q8IYN0,ZNF100,Zinc finger protein 100,ZNF100
Q8IYP2,PRSS58 TRY1 TRYX3 UNQ2540/PRO6090,Serine protease 58,PRSS58
Q8IYS2,KIAA2013,Uncharacterized protein KIAA2013,KIAA2013
Q8IYS8,BOD1L2 BOD1P FAM44C,Biorientation of chromosomes in cell division protein 1-like 2,BOD1L2
Q8IYW4,ENTHD1,ENTH domain-containing protein 1,ENTHD1
Q8IZ02,LRRC34,Leucine-rich repeat-containing protein 34,LRRC34
Q8IZ13,FAM200C Buster3 C5orf54 ZBED8,Protein FAM200C,FAM200C
Q8IZ16,SPACDR C7orf61,Sperm acrosome developmental regulator,SPACDR
Q8IZ40,RCOR2,REST corepressor 2,RCOR2
Q8IZ81,ELMOD2,ELMO domain-containing protein 2,ELMOD2
Q8IZD0,SAMD14,Sterile alpha motif domain-containing protein 14,SAMD14
Q8IZJ6,TDH SDR14E1P,"Inactive L-threonine 3-dehydrogenase, mitochondrial",TDH
Q8IZM8,ZNF654,Zinc finger protein 654,ZNF654
Q8IZN7,DEFB107A DEFB107 DEFB7; DEFB107B,Beta-defensin 107,DEFB107A
Q8IZP2,ST13P4 FAM10A4,Putative protein FAM10A4,ST13P4
Q8IZY5,BLID BRCC2,BH3-like motif-containing cell death inducer,BLID
Q8N0U6,LINC00518 C6orf218,Putative uncharacterized protein encoded by LINC00518,LINC00518
Q8N0V4,LGI2 KIAA1916 LGIL2,Leucine-rich repeat LGI family member 2,LGI2
Q8N0Y3,OR4N4,Olfactory receptor 4N4,OR4N4
Q8N0Y5,OR8I2,Olfactory receptor 8I2,OR8I2
Q8N0Z2,ABRA,Actin-binding Rho-activating protein,ABRA
Q8N0Z9,VSIG10,V-set and immunoglobulin domain-containing protein 10,VSIG10
Q8N127,OR5AS1,Olfactory receptor 5AS1,OR5AS1
Q8N129,CNPY4 PSEC0237 UNQ1909/PRO4354,Protein canopy homolog 4,CNPY4
Q8N141,ZFP82 KIAA1948 ZNF545,Zinc finger protein 82 homolog,ZFP82
Q8N146,OR8H3,Olfactory receptor 8H3,OR8H3
Q8N148,OR6V1,Olfactory receptor 6V1,OR6V1
Q8N162,OR8H2,Olfactory receptor 8H2,OR8H2
Q8N1A6,C4orf33,UPF0462 protein C4orf33,C4orf33
Q8N1E2,LYG1 UNQ1939/PRO4422,Lysozyme g-like protein 1,LYG1
Q8N1L4,CYP4Z2P,Putative inactive cytochrome P450 family member 4Z2,CYP4Z2P
Q8N1N0,CLEC4F CLECSF13,C-type lectin domain family 4 member F,CLEC4F
Q8N1W2,ZNF710,Zinc finger protein 710,ZNF710
Q8N228,SCML4,Sex comb on midleg-like protein 4,SCML4
Q8N283,ANKRD35,Ankyrin repeat domain-containing protein 35,ANKRD35
Q8N2E2,VWDE,von Willebrand factor D and EGF domain-containing protein,VWDE
Q8N2I2,ZNF619,Zinc finger protein 619,ZNF619
Q8N2X6,EXOC3-AS1 C5orf55,Uncharacterized protein EXOC3-AS1,EXOC3-AS1
Q8N309,LRRC43,Leucine-rich repeat-containing protein 43,LRRC43
Q8N323,NXPE1 FAM55A,NXPE family member 1,NXPE1
Q8N328,PGBD3,PiggyBac transposable element-derived protein 3,PGBD3
Q8N336,ELMOD1,ELMO domain-containing protein 1,ELMOD1
Q8N349,OR2L13 OR2L14,Olfactory receptor 2L13,OR2L13
Q8N3F9,GPR137C TM7SF1L2,Integral membrane protein GPR137C,GPR137C
Q8N3H0,TAFA2 FAM19A2,Chemokine-like protein TAFA-2,TAFA2
Q8N3R3,TCAIM C3orf23 TOAG1,"T-cell activation inhibitor, mitochondrial",TCAIM
Q8N3S3,PHTF2,Protein PHTF2,PHTF2
Q8N3T6,TMEM132C,Transmembrane protein 132C,TMEM132C
Q8N3Z0,PRSS35 C6orf158 UNQ522/PRO1057,Inactive serine protease 35,PRSS35
Q8N3Z3,GTPBP8,GTP-binding protein 8,GTPBP8
Q8N413,SLC25A45,Solute carrier family 25 member 45,SLC25A45
Q8N434,SVOPL,Putative transporter SVOPL,SVOPL
Q8N456,LRRC18 UNQ9338/PRO34010,Leucine-rich repeat-containing protein 18,LRRC18
Q8N468,MFSD4A MFSD4 UNQ3064/PRO9894,Major facilitator superfamily domain-containing protein 4A,MFSD4A
Q8N4B4,FBXO39 FBX39,F-box only protein 39,FBXO39
Q8N4F7,RNF175,RING finger protein 175,RNF175
Q8N4H0,SPATA6L C9orf68,Spermatogenesis associated 6-like protein,SPATA6L
Q8N4S0,CCDC82 HT025,Coiled-coil domain-containing protein 82,CCDC82
Q8N4V2,SVOP,Synaptic vesicle 2-related protein,SVOP
Q8N4Z0,RAB42,Ras-related protein Rab-42,RAB42
Q8N531,FBXL6 FBL6,F-box/LRR-repeat protein 6,FBXL6
Q8N567,ZCCHC9,Zinc finger CCHC domain-containing protein 9,ZCCHC9
Q8N584,TTC39C C18orf17,Tetratricopeptide repeat protein 39C,TTC39C
Q8N587,ZNF561,Zinc finger protein 561,ZNF561
Q8N5C6,SRBD1,S1 RNA-binding domain-containing protein 1,SRBD1
Q8N5H3,FAM89B Lrap25,Leucine repeat adapter protein 25,FAM89B
Q8N5I9,NOPCHAP1 C12orf45,NOP protein chaperone 1,NOPCHAP1
Q8N5J4,SPIC,Transcription factor Spi-C,SPIC
Q8N5T2,TBC1D19,TBC1 domain family member 19,TBC1D19
Q8N5U1,MS4A15,Membrane-spanning 4-domains subfamily A member 15,MS4A15
Q8N5W9,RFLNB,Refilin-B,RFLNB
Q8N5X7,EIF4E3,Eukaryotic translation initiation factor 4E type 3,EIF4E3
Q8N660,NBPF15 NBPF16,Neuroblastoma breakpoint family member 15,NBPF15
Q8N687,DEFB125 DEFB25,Beta-defensin 125,DEFB125
Q8N688,DEFB123 DEFB23 UNQ1963/PRO4485,Beta-defensin 123,DEFB123
Q8N6M5,ALLC,Probable inactive allantoicase,ALLC
Q8N6M8,IQCF1,IQ domain-containing protein F1,IQCF1
Q8N6M9,ZFAND2A,AN1-type zinc finger protein 2A,ZFAND2A
Q8N6N3,C1orf52 BAG GM117,UPF0690 protein C1orf52,C1orf52
Q8N6N6,NATD1 C17orf103 GTLF3B,Protein NATD1,NATD1
Q8N6N7,ACBD7,Acyl-CoA-binding domain-containing protein 7,ACBD7
Q8N6Q1,TMCO5A TMCO5,Transmembrane and coiled-coil domain-containing protein 5A,TMCO5A
Q8N6V9,TEX9,Testis-expressed protein 9,TEX9
Q8N6Y2,LRRC17 P37NB UNQ3076/PRO9909,Leucine-rich repeat-containing protein 17,LRRC17
Q8N782,ZNF525 KIAA1979,Zinc finger protein 525,ZNF525
Q8N7C7,RNF148,RING finger protein 148,RNF148
Q8N7F7,UBL4B,Ubiquitin-like protein 4B,UBL4B
Q8N7G0,POU5F2 SPRM1,"POU domain, class 5, transcription factor 2",POU5F2
Q8N7M0,DYNLT5 TCTEX1D1,Dynein light chain Tctex-type 5,DYNLT5
Q8N7P1,PLD5,Inactive phospholipase D5,PLD5
Q8N7Q3,ZNF676,Zinc finger protein 676,ZNF676
Q8N7R0,NANOGP1 NANOG2,Putative homeobox protein NANOG2,NANOGP1
Q8N7S2,DNAJC5G,DnaJ homolog subfamily C member 5G,DNAJC5G
Q8N7Z5,ANKRD31,Ankyrin repeat domain-containing protein 31,ANKRD31
Q8N815,CNTD1 CNTD,Cyclin N-terminal domain-containing protein 1,CNTD1
Q8N878,FRMD1,FERM domain-containing protein 1,FRMD1
Q8N8C0,ZNF781,Zinc finger protein 781,ZNF781
Q8N8D1,PDCD7,Programmed cell death protein 7,PDCD7
Q8N8F7,LSMEM1 C7orf53,Leucine-rich single-pass membrane protein 1,LSMEM1
Q8N8M0,NAT16 C7orf52,Probable N-acetyltransferase 16,NAT16
Q8N8U2,CDYL2,Chromodomain Y-like protein 2,CDYL2
Q8N8U3,RTL3 MAR3 MART3 ZCCHC5,Retrotransposon Gag-like protein 3,RTL3
Q8N8Z6,DCBLD1,"Discoidin, CUB and LCCL domain-containing protein 1",DCBLD1
Q8N944,AMER3 FAM123C,APC membrane recruitment protein 3,AMER3
Q8N957,ANKFN1,Ankyrin repeat and fibronectin type-III domain-containing protein 1,ANKFN1
Q8N961,ABTB2,Ankyrin repeat and BTB/POZ domain-containing protein 2,ABTB2
Q8N967,LRTM2,Leucine-rich repeat and transmembrane domain-containing protein 2,LRTM2
Q8N972,ZNF709,Zinc finger protein 709,ZNF709
Q8N998,CCDC89 BOIP,Coiled-coil domain-containing protein 89,CCDC89
Q8N9B8,RASGEF1A,Ras-GEF domain-containing family member 1A,RASGEF1A
Q8N9F8,ZNF454,Zinc finger protein 454,ZNF454
Q8N9K5,ZNF565,Zinc finger protein 565,ZNF565
Q8N9M1,C19orf47,Uncharacterized protein C19orf47,C19orf47
Q8N9N7,LRRC57,Leucine-rich repeat-containing protein 57,LRRC57
Q8N9T8,KRI1,Protein KRI1 homolog,KRI1
Q8N9U0,TC2N C14orf47 MTAC2D1,Tandem C2 domains nuclear protein,TC2N
Q8N9V7,TOPAZ1 C3orf77,Protein TOPAZ1,TOPAZ1
Q8N9W8,GARIN2 C14orf54 FAM71D,Golgi-associated RAB2 interactor protein 2,GARIN2
Q8N9Y4,FAM181A C14orf152 HSD-31 HSD31,Protein FAM181A,FAM181A
Q8N9Z9,LMNTD1 IFLTD1,Lamin tail domain-containing protein 1,LMNTD1
Q8NA23,WDR31,WD repeat-containing protein 31,WDR31
Q8NA47,CCDC63,Coiled-coil domain-containing protein 63,CCDC63
Q8NA69,SAXO5 C19orf45 TEX45,Stabilizer of axonemal microtubules 5,SAXO5
Q8NA92,THAP8,THAP domain-containing protein 8,THAP8
Q8NB42,ZNF527 KIAA1829,Zinc finger protein 527,ZNF527
Q8NB46,ANKRD52,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,ANKRD52
Q8NB50,ZFP62,Zinc finger protein 62 homolog,ZFP62
Q8NBL3,TMEM178A TMEM178 PSEC0131 UNQ5926/PRO19820,Transmembrane protein 178A,TMEM178A
Q8NC74,RBBP8NL C20orf151,RBBP8 N-terminal-like protein,RBBP8NL
Q8NCI6,GLB1L3,Beta-galactosidase-1-like protein 3,GLB1L3
Q8NCL9,APCDD1L,Protein APCDD1-like,APCDD1L
Q8NCN5,PDPR KIAA1990,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",PDPR
Q8NCQ5,FBXO15 FBX15,F-box only protein 15,FBXO15
Q8NCR9,CLRN3 TMEM12 USH3AL1,Clarin-3,CLRN3
Q8NCX0,CCDC150,Coiled-coil domain-containing protein 150,CCDC150
Q8ND07,BBOF1 C14orf45 CCDC176,Basal body-orientation factor 1,BBOF1
Q8ND61,C3orf20,Uncharacterized protein C3orf20,C3orf20
Q8NDA8,MROH1 HEATR7A KIAA1833,Maestro heat-like repeat-containing protein family member 1,MROH1
Q8NDW4,ZNF248,Zinc finger protein 248,ZNF248
Q8NDY3,ADPRHL1 ARH2,Inactive ADP-ribosyltransferase ARH2,ADPRHL1
Q8NDY6,BHLHE23 BHLHB4,Class E basic helix-loop-helix protein 23,BHLHE23
Q8NDZ0,BEND2 CXorf20,BEN domain-containing protein 2,BEND2
Q8NDZ6,TMEM161B UNQ679/PRO1313,Transmembrane protein 161B,TMEM161B
Q8NE00,TMEM104,Transmembrane protein 104,TMEM104
Q8NE18,NSUN7,Putative methyltransferase NSUN7,NSUN7
Q8NE22,SETD9 C5orf35,SET domain-containing protein 9,SETD9
Q8NE28,STKLD1 C9orf96 SGK071,Serine/threonine kinase-like domain-containing protein STKLD1,STKLD1
Q8NE65,ZNF738,Zinc finger protein 738,ZNF738
Q8NEA5,C19orf18,Uncharacterized protein C19orf18,C19orf18
Q8NEC7,GSTCD,Glutathione S-transferase C-terminal domain-containing protein,GSTCD
Q8NEG4,FAM83F,Protein FAM83F,FAM83F
Q8NEG5,ZSWIM2 ZZZ2,E3 ubiquitin-protein ligase ZSWIM2,ZSWIM2
Q8NEG7,DENND6B FAM116B,Protein DENND6B,DENND6B
Q8NEK5,ZNF548,Zinc finger protein 548,ZNF548
Q8NEM1,ZNF680,Zinc finger protein 680,ZNF680
Q8NEM2,SHCBP1,SHC SH2 domain-binding protein 1,SHCBP1
Q8NEP7,KLHDC9 KARCA1,Kelch domain-containing protein 9,KLHDC9
Q8NES8,DEFB124 DEFB24,Beta-defensin 124,DEFB124
Q8NEW7,TMIE,Transmembrane inner ear expressed protein,TMIE
Q8NEY3,SPATA4 TSARG2,Spermatogenesis-associated protein 4,SPATA4
Q8NFI4,ST13P5 FAM10A5,Putative protein FAM10A5,ST13P5
Q8NFQ5,BPIFB6 BPIL3,BPI fold-containing family B member 6,BPIFB6
Q8NFQ6,BPIFC BPIL2,BPI fold-containing family C protein,BPIFC
Q8NFR7,CCDC148,Coiled-coil domain-containing protein 148,CCDC148
Q8NFU4,FDCSP C4orf7 UNQ733/PRO1419,Follicular dendritic cell secreted peptide,FDCSP
Q8NFZ6,VN1R2 V1RL2,Vomeronasal type-1 receptor 2,VN1R2
Q8NG35,DEFB105A BD5 DEFB105 DEFB5; DEFB105B,Beta-defensin 105,DEFB105A
Q8NG41,NPB PPL7 PPNPB,Neuropeptide B,NPB
Q8NG75,OR5T1 OR5T1P,Olfactory receptor 5T1,OR5T1
Q8NG76,OR2T33,Olfactory receptor 2T33,OR2T33
Q8NG77,OR2T12,Olfactory receptor 2T12,OR2T12
Q8NG78,OR8G5 OR8G5P OR8G6,Olfactory receptor 8G5,OR8G5
Q8NG80,OR2L5 OR2L11,Olfactory receptor 2L5,OR2L5
Q8NG81,OR2M7,Olfactory receptor 2M7,OR2M7
Q8NG83,OR2M3 OR2M3P OR2M6,Olfactory receptor 2M3,OR2M3
Q8NG84,OR2AK2 OR2AK1P,Olfactory receptor 2AK2,OR2AK2
Q8NG85,OR2L3,Olfactory receptor 2L3,OR2L3
Q8NG92,OR13H1,Olfactory receptor 13H1,OR13H1
Q8NG94,OR11H1,Olfactory receptor 11H1,OR11H1
Q8NG95,OR7G3,Olfactory receptor 7G3,OR7G3
Q8NG97,OR2Z1 OR2Z2,Olfactory receptor 2Z1,OR2Z1
Q8NG99,OR7G2,Olfactory receptor 7G2,OR7G2
Q8NGA1,OR1M1,Olfactory receptor 1M1,OR1M1
Q8NGA2,OR7A2P OR7A2 OR7A7,Putative olfactory receptor 7A2,OR7A2P
Q8NGA5,OR10H4,Olfactory receptor 10H4,OR10H4
Q8NGA6,OR10H5,Olfactory receptor 10H5,OR10H5
Q8NGA8,OR4F17 OR4F11P OR4F18 OR4F19,Olfactory receptor 4F17,OR4F17
Q8NGB2,OR4C5,Olfactory receptor 4C5,OR4C5
Q8NGB4,OR4S1,Olfactory receptor 4S1,OR4S1
Q8NGB6,OR4M2,Olfactory receptor 4M2,OR4M2
Q8NGB8,OR4F15,Olfactory receptor 4F15,OR4F15
Q8NGB9,OR4F6 OR4F12,Olfactory receptor 4F6,OR4F6
Q8NGC0,OR5AU1,Olfactory receptor 5AU1,OR5AU1
Q8NGC1,OR11G2,Olfactory receptor 11G2,OR11G2
Q8NGC2,OR4E2,Olfactory receptor 4E2,OR4E2
Q8NGC3,OR10G2,Olfactory receptor 10G2,OR10G2
Q8NGC4,OR10G3,Olfactory receptor 10G3,OR10G3
Q8NGC5,OR6J1 OR6J2,Olfactory receptor 6J1,OR6J1
Q8NGC6,OR4K17,Olfactory receptor 4K17,OR4K17
Q8NGC7,OR11H6,Olfactory receptor 11H6,OR11H6
Q8NGC9,OR11H4,Olfactory receptor 11H4,OR11H4
Q8NGD1,OR4N2,Olfactory receptor 4N2,OR4N2
Q8NGD2,OR4K2,Olfactory receptor 4K2,OR4K2
Q8NGD3,OR4K5,Olfactory receptor 4K5,OR4K5
Q8NGD4,OR4K1,Olfactory receptor 4K1,OR4K1
Q8NGD5,OR4K14,Olfactory receptor 4K14,OR4K14
Q8NGE0,OR10AD1 OR10AD1P,Olfactory receptor 10AD1,OR10AD1
Q8NGE1,OR6C4,Olfactory receptor 6C4,OR6C4
Q8NGE2,OR2AP1 OR2AP1P,Olfactory receptor 2AP1,OR2AP1
Q8NGE5,OR10A7,Olfactory receptor 10A7,OR10A7
Q8NGE7,OR9K2,Olfactory receptor 9K2,OR9K2
Q8NGE8,OR4D9,Olfactory receptor 4D9,OR4D9
Q8NGE9,OR9Q2 OR9Q2P,Olfactory receptor 9Q2,OR9Q2
Q8NGF0,OR52B6,Olfactory receptor 52B6,OR52B6
Q8NGF1,OR52R1,Olfactory receptor 52R1,OR52R1
Q8NGF3,OR51D1,Olfactory receptor 51D1,OR51D1
Q8NGF4,OR5AP2,Olfactory receptor 5AP2,OR5AP2
Q8NGF6,OR10W1 OR10W1P UNQ6469/PRO34070,Olfactory receptor 10W1,OR10W1
Q8NGF7,OR5B17 OR5B20P,Olfactory receptor 5B17,OR5B17
Q8NGF8,OR4B1,Olfactory receptor 4B1,OR4B1
Q8NGF9,OR4X2,Olfactory receptor 4X2,OR4X2
Q8NGG0,OR8J3,Olfactory receptor 8J3,OR8J3
Q8NGG1,OR8J2 OR8J2P,Olfactory receptor 8J2,OR8J2
Q8NGG3,OR5T3,Olfactory receptor 5T3,OR5T3
Q8NGG4,OR8H1,Olfactory receptor 8H1,OR8H1
Q8NGG5,OR8K1,Olfactory receptor 8K1,OR8K1
Q8NGG6,OR8B12,Olfactory receptor 8B12,OR8B12
Q8NGG7,OR8A1,Olfactory receptor 8A1,OR8A1
Q8NGG8,OR8B3,Olfactory receptor 8B3,OR8B3
Q8NGH3,OR2D3,Olfactory receptor 2D3,OR2D3
Q8NGH5,OR56A1,Olfactory receptor 56A1,OR56A1
Q8NGH6,OR52L2P OR52L2,Putative olfactory receptor 52L2,OR52L2P
Q8NGH8,OR56A4,Olfactory receptor 56A4,OR56A4
Q8NGH9,OR52E4,Olfactory receptor 52E4,OR52E4
Q8NGI0,OR52N2,Olfactory receptor 52N2,OR52N2
Q8NGI1,OR56B2P,Putative olfactory receptor 56B2,OR56B2P
Q8NGI3,OR56B1 OR56B1P,Olfactory receptor 56B1,OR56B1
Q8NGI4,OR4D11 OR4D11P,Olfactory receptor 4D11,OR4D11
Q8NGI6,OR4D10 OR4D10P,Olfactory receptor 4D10,OR4D10
Q8NGI7,OR10V1,Olfactory receptor 10V1,OR10V1
Q8NGI9,OR5A2,Olfactory receptor 5A2,OR5A2
Q8NGJ0,OR5A1 OR5A1P,Olfactory receptor 5A1,OR5A1
Q8NGJ1,OR4D6,Olfactory receptor 4D6,OR4D6
Q8NGJ2,OR52H1,Olfactory receptor 52H1,OR52H1
Q8NGJ3,OR52E1 OR52E1P,Olfactory receptor 52E1,OR52E1
Q8NGJ4,OR52E2,Olfactory receptor 52E2,OR52E2
Q8NGJ5,OR51L1,Olfactory receptor 51L1,OR51L1
Q8NGJ6,OR51A4,Olfactory receptor 51A4,OR51A4
Q8NGJ7,OR51A2,Olfactory receptor 51A2,OR51A2
Q8NGJ8,OR51S1,Olfactory receptor 51S1,OR51S1
Q8NGJ9,OR51T1,Olfactory receptor 51T1,OR51T1
Q8NGK0,OR51G2,Olfactory receptor 51G2,OR51G2
Q8NGK1,OR51G1 OR51G3P,Olfactory receptor 51G1,OR51G1
Q8NGK3,OR52K2,Olfactory receptor 52K2,OR52K2
Q8NGK4,OR52K1,Olfactory receptor 52K1,OR52K1
Q8NGK5,OR52M1 OR52M1P,Olfactory receptor 52M1,OR52M1
Q8NGK6,OR52I1,Olfactory receptor 52I1,OR52I1
Q8NGK9,OR5D16,Olfactory receptor 5D16,OR5D16
Q8NGL0,OR5L2,Olfactory receptor 5L2,OR5L2
Q8NGL1,OR5D18,Olfactory receptor 5D18,OR5D18
Q8NGL2,OR5L1,Olfactory receptor 5L1,OR5L1
Q8NGL3,OR5D14,Olfactory receptor 5D14,OR5D14
Q8NGL4,OR5D13,Olfactory receptor 5D13,OR5D13
Q8NGL6,OR4A15,Olfactory receptor 4A15,OR4A15
Q8NGL7,OR4P4 OR4P3P,Olfactory receptor 4P4,OR4P4
Q8NGL9,OR4C16,Olfactory receptor 4C16,OR4C16
Q8NGM1,OR4C15,Olfactory receptor 4C15,OR4C15
Q8NGM8,OR6M1,Olfactory receptor 6M1,OR6M1
Q8NGN0,OR4D5,Olfactory receptor 4D5,OR4D5
Q8NGN1,OR6T1,Olfactory receptor 6T1,OR6T1
Q8NGN2,OR10S1,Olfactory receptor 10S1,OR10S1
Q8NGN4,OR10G9 OR10G10P,Olfactory receptor 10G9,OR10G9
Q8NGN5,OR10G8,Olfactory receptor 10G8,OR10G8
Q8NGN6,OR10G7,Olfactory receptor 10G7,OR10G7
Q8NGN7,OR10D4P OR10D4,Putative olfactory receptor 10D4,OR10D4P
Q8NGN8,OR4A4P,Putative olfactory receptor 4A4,OR4A4P
Q8NGP0,OR4C13,Olfactory receptor 4C13,OR4C13
Q8NGP2,OR8J1,Olfactory receptor 8J1,OR8J1
Q8NGP3,OR5M9,Olfactory receptor 5M9,OR5M9
Q8NGP4,OR5M3,Olfactory receptor 5M3,OR5M3
Q8NGP6,OR5M8,Olfactory receptor 5M8,OR5M8
Q8NGP8,OR5M1,Olfactory receptor 5M1,OR5M1
